"codigo","nome_municipio","EC29","gastototal"
"110001"," Alta Floresta D'Oeste",26.49,16253356.53
"110037"," Alto Alegre dos Parecis",22.39,8169138.72
"110040"," Alto Paraíso",21.67,10481888.42
"110034"," Alvorada D'Oeste",26.22,10907420.63
"110002"," Ariquemes",24.18,70694168.92
"110045"," Buritis",18,16026707.81
"110003"," Cabixi",25.92,6861599.87
"110060"," Cacaulândia",24.23,5287108.29
"110004"," Cacoal",18.95,51921725.77
"110070"," Campo Novo de Rondônia",22.61,8454240.93
"110080"," Candeias do Jamari",26.24,13888402.74
"110090"," Castanheiras",28.75,6708831.82
"110005"," Cerejeiras",24.94,13087154.77
"110092"," Chupinguaia",20.85,10164924.49
"110006"," Colorado do Oeste",27.33,13812132.78
"110007"," Corumbiara",21.37,8967898.44
"110008"," Costa Marques",19.17,9784033.47
"110094"," Cujubim",15.63,8871243.57
"110009"," Espigão D'Oeste",23.29,17051684.76
"110100"," Governador Jorge Teixeira",22.64,6400621.05
"110010"," Guajará-Mirim",31.74,28856004.27
"110110"," Itapuã do Oeste",23.27,7147849.12
"110011"," Jaru",19.92,34580185
"110012"," Ji-Paraná",18.81,74744514.91
"110013"," Machadinho D'Oeste",19.06,17487524.65
"110120"," Ministro Andreazza",17.58,5147330.48
"110130"," Mirante da Serra",20.36,6213081.98
"110140"," Monte Negro",28.6,11146498.86
"110014"," Nova Brasilândia D'Oeste",25.98,11154480.4
"110033"," Nova Mamoré",26.82,17205449.27
"110143"," Nova União",21.99,4432270.95
"110050"," Novo Horizonte do Oeste",24.54,5827662.11
"110015"," Ouro Preto do Oeste",25.49,23494327.44
"110145"," Parecis",23.06,4793888.78
"110018"," Pimenta Bueno",25.69,28543193.88
"110146"," Pimenteiras do Oeste",22.07,5939139.71
"110020"," Porto Velho",21.14,291235520.6
"110025"," Presidente Médici",29.61,14817597.32
"110147"," Primavera de Rondônia",17.58,3370148.4
"110026"," Rio Crespo",21.43,4878593.76
"110028"," Rolim de Moura",31.39,40069322.66
"110029"," Santa Luzia D'Oeste",24.77,6126850.94
"110148"," São Felipe D'Oeste",20.69,4422980.35
"110149"," São Francisco do Guaporé",18.76,12423814.09
"110032"," São Miguel do Guaporé",31.35,15209105.91
"110150"," Seringueiras",26.81,9126658.4
"110155"," Teixeirópolis",21.66,3839588.12
