 População Residente - Brasil
População residente por Faixa Etária detalhada e Sexo
Período:1981
"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"0 a 4 anos não detalhado";8269866;8071642;16341508
"5 a 9 anos não detalhado";7576670;7388199;14964869
"10 a 14 anos não detalhado";7271064;7206021;14477085
"15 a 19 anos não detalhado";6766039;6912903;13678942
"20 a 24 anos";5768802;5919669;11688471
"25 a 29 anos";4782179;4945365;9727544
"30 a 34 anos";3942249;4038940;7981189
"35 a 39 anos";3254178;3366290;6620468
"40 a 44 anos";2940172;2964125;5904297
"45 a 49 anos";2363808;2421955;4785763
"50 a 54 anos";2080665;2123882;4204547
"55 a 59 anos";1602999;1638967;3241966
"60 a 64 anos";1237981;1317013;2554994
"65 a 69 anos";1011719;1082389;2094108
"70 a 74 anos";648369;720509;1368878
"75 a 79 anos";397214;478080;875294
"80 anos e mais";262323;381913;644236
"Total";60176297;60977862;121154159
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
