Titulo1= População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2024 - Brasil
Titulo2=População residente por Sexo segundo Faixa Etária 2
Rodape=Período:2024
Nomemapa=c:\tabwin\fxidad2svs.map
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";6661380;6356612;13017992
"De 5 a 9 anos";7439000;7092027;14531027
"De 10 a 14 anos";7429136;7076552;14505688
"De 15 a 19 anos";7651069;7320566;14971635
"De 20 a 24 anos";8044783;7821129;15865912
"De 25 a 29 anos";8193616;8219079;16412695
"De 30 a 34 anos";7992515;8181015;16173530
"De 35 a 39 anos";8115656;8419414;16535070
"De 40 a 44 anos";8073611;8525842;16599453
"De 45 a 49 anos";7171760;7693627;14865387
"De 50 a 54 anos";6215140;6798626;13013766
"De 55 a 59 anos";5603775;6318206;11921981
"De 60 a 64 anos";4833395;5622638;10456033
"De 65 a 69 anos";3806961;4582309;8389270
"De 70 a 74 anos";2768674;3500843;6269517
"De 75 a 79 anos";1840490;2463099;4303589
"De 80 anos ou mais";1821325;2929880;4751205
"Total";103662286;108921464;212583750
